Samples	SBS1	SBS5	SBS12	SBS15	SBS16	SBS21	SBS22a	SBS40a	SBS95
TCGA-2V-A95S-01	2	128	0	0	0	0	0	0	0
TCGA-2Y-A9GS-01	0	32	0	24	0	0	0	0	25
TCGA-2Y-A9GT-01	2	105	0	0	0	0	0	0	0
TCGA-2Y-A9GU-01	22	29	37	0	0	0	0	107	0
TCGA-2Y-A9GV-01	0	78	0	0	0	0	0	0	0
TCGA-2Y-A9GW-01	4	97	0	0	0	0	0	0	0
TCGA-2Y-A9GX-01	0	25	0	0	0	0	0	46	0
TCGA-2Y-A9GY-01	13	0	0	0	32	0	0	49	0
TCGA-2Y-A9GZ-01	0	34	0	0	0	0	0	81	0
TCGA-2Y-A9H0-01	2	99	0	0	0	0	0	0	0
TCGA-2Y-A9H1-01	1	50	27	0	0	0	0	78	0
TCGA-2Y-A9H2-01	14	48	0	0	0	0	0	0	0
TCGA-2Y-A9H3-01	0	232	0	0	0	0	0	0	0
TCGA-2Y-A9H4-01	0	84	0	0	0	0	0	0	0
TCGA-2Y-A9H5-01	15	42	0	0	0	0	0	45	0
TCGA-2Y-A9H6-01	5	76	0	0	0	0	0	0	0
TCGA-2Y-A9H7-01	9	42	0	0	0	0	0	38	0
TCGA-2Y-A9H8-01	20	26	0	0	0	0	0	51	0
TCGA-2Y-A9H9-01	14	101	0	0	0	0	0	0	39
TCGA-2Y-A9HA-01	10	0	37	0	0	0	0	86	52
TCGA-2Y-A9HB-01	0	38	0	12	0	0	0	48	0
TCGA-3K-AAZ8-01	0	154	0	0	0	0	23	0	0
TCGA-4R-AA8I-01	220	357	0	418	0	331	0	0	0
TCGA-5C-A9VG-01	17	174	0	0	0	0	0	0	0
TCGA-5C-A9VH-01	1	90	0	0	0	0	0	0	32
TCGA-5C-AAPD-01	3	5	0	0	0	0	0	72	0
TCGA-5R-AA1C-01	0	47	0	0	0	0	0	68	0
TCGA-5R-AA1D-01	5	8	0	0	0	0	0	14	0
TCGA-5R-AAAM-01	0	102	0	11	0	0	0	0	0
TCGA-BC-4073-01	0	47	0	0	0	0	0	135	0
TCGA-BC-A10Q-01	9	8	0	0	0	0	0	29	0
TCGA-BC-A10R-01	4	130	0	0	0	0	0	0	0
TCGA-BC-A10T-01	6	35	0	0	0	0	0	58	0
TCGA-BC-A10U-01	2	24	34	0	0	0	0	93	0
TCGA-BC-A10W-01	0	127	0	0	0	0	0	0	0
TCGA-BC-A10X-01	0	4	0	0	0	0	0	0	0
TCGA-BC-A10Y-01	0	47	0	10	21	0	0	0	0
TCGA-BC-A10Z-01	0	52	0	0	0	0	0	98	56
TCGA-BC-A216-01	10	47	0	0	0	0	0	31	0
TCGA-BC-A217-01	2	41	0	0	0	0	0	96	0
TCGA-BC-A3KF-01	0	103	0	0	0	0	19	0	0
TCGA-BC-A5W4-01	6	78	0	0	0	0	0	0	0
TCGA-BC-A69H-01	1	66	0	0	0	0	0	74	0
TCGA-BC-A8YO-01	8	43	0	0	0	0	0	29	0
TCGA-BD-A2L6-01	0	31	21	0	0	0	0	39	0
TCGA-BD-A3EP-01	0	119	0	0	0	0	0	0	0
TCGA-BW-A5NO-01	4	7	29	0	0	0	0	110	0
TCGA-BW-A5NP-01	16	3	0	0	0	0	0	80	0
TCGA-BW-A5NQ-01	0	32	0	0	0	0	0	85	0
TCGA-CC-5258-01	0	157	0	0	0	0	0	0	0
TCGA-CC-5259-01	8	112	0	0	0	0	57	0	0
TCGA-CC-5260-01	8	50	0	0	0	0	11	0	0
TCGA-CC-5262-01	5	70	0	0	0	0	0	84	0
TCGA-CC-5263-01	1	45	0	0	0	0	28	35	43
TCGA-CC-5264-01	0	30	0	0	0	0	0	86	0
TCGA-CC-A123-01	3	24	0	0	0	0	0	35	36
TCGA-CC-A1HT-01	0	116	0	0	0	0	0	0	0
TCGA-CC-A3M9-01	4	62	39	0	0	0	0	67	0
TCGA-CC-A3MA-01	16	28	0	0	0	0	0	0	12
TCGA-CC-A3MB-01	5	57	0	0	0	0	0	0	36
TCGA-CC-A3MC-01	10	39	0	0	33	0	0	0	42
TCGA-CC-A5UC-01	0	71	0	0	0	0	0	0	0
TCGA-CC-A5UD-01	3	52	0	0	0	0	156	0	40
TCGA-CC-A5UE-01	0	80	0	0	0	0	0	0	79
TCGA-CC-A7IE-01	7	68	47	14	0	0	30	0	47
TCGA-CC-A7IF-01	0	162	0	0	0	0	0	0	0
TCGA-CC-A7IG-01	4	72	0	0	0	0	0	0	107
TCGA-CC-A7IH-01	0	160	224	0	0	0	327	0	262
TCGA-CC-A7II-01	7	62	0	0	0	0	0	0	140
TCGA-CC-A7IJ-01	0	187	0	0	0	0	0	0	0
TCGA-CC-A7IK-01	6	70	99	0	0	0	130	0	74
TCGA-CC-A7IL-01	0	87	0	0	0	0	0	0	48
TCGA-CC-A8HT-01	0	79	0	0	0	0	0	71	108
TCGA-CC-A8HU-01	5	27	0	0	0	0	0	37	46
TCGA-CC-A8HV-01	8	106	0	14	0	0	0	0	51
TCGA-CC-A9FS-01	0	85	0	0	0	0	0	0	49
TCGA-CC-A9FU-01	0	13	0	0	0	0	0	47	0
TCGA-CC-A9FV-01	8	7	0	0	14	0	0	0	0
TCGA-CC-A9FW-01	4	89	0	0	0	0	21	64	0
TCGA-DD-A113-01	32	354	0	0	0	0	0	0	0
TCGA-DD-A114-01	0	0	0	0	0	0	0	121	130
TCGA-DD-A115-01	0	95	0	0	0	0	0	120	0
TCGA-DD-A116-01	4	35	34	0	0	0	0	72	0
TCGA-DD-A118-01	15	134	0	0	0	0	0	0	0
TCGA-DD-A119-01	21	150	0	0	0	0	0	0	0
TCGA-DD-A11A-01	4	79	0	0	0	0	0	83	0
TCGA-DD-A11B-01	0	70	0	0	0	0	0	59	0
TCGA-DD-A11C-01	12	0	24	0	0	0	0	82	0
TCGA-DD-A11D-01	0	36	31	0	0	0	0	94	0
TCGA-DD-A1E9-01	3	81	0	0	0	0	0	0	0
TCGA-DD-A1EB-01	6	9	53	0	0	0	0	95	58
TCGA-DD-A1EC-01	7	16	11	0	0	0	0	0	0
TCGA-DD-A1ED-01	0	3	9	0	0	0	0	22	0
TCGA-DD-A1EE-01	16	101	0	0	99	0	0	295	183
TCGA-DD-A1EF-01	0	40	39	15	0	0	0	73	0
TCGA-DD-A1EH-01	9	36	0	0	0	0	0	0	0
TCGA-DD-A1EI-01	0	64	0	0	0	0	0	0	0
TCGA-DD-A1EJ-01	6	0	23	0	0	0	0	46	0
TCGA-DD-A1EK-01	5	29	0	0	0	0	0	52	0
TCGA-DD-A1EL-01	9	17	0	0	0	0	0	0	97
TCGA-DD-A39V-01	7	79	0	0	0	0	0	0	0
TCGA-DD-A39W-01	4	44	0	0	0	0	0	0	0
TCGA-DD-A39X-01	6	68	0	6	0	0	0	0	0
TCGA-DD-A39Z-01	1	43	0	0	0	0	0	54	0
TCGA-DD-A3A2-01	3	4	0	10	0	0	0	73	0
TCGA-DD-A3A3-01	4	34	0	0	0	0	0	32	0
TCGA-DD-A3A4-01	8	12	10	0	0	0	0	0	21
TCGA-DD-A3A5-01	7	78	0	0	0	0	0	0	0
TCGA-DD-A3A6-01	9	6	16	0	0	0	0	0	0
TCGA-DD-A3A7-01	5	97	0	0	54	0	0	0	0
TCGA-DD-A3A8-01	6	48	42	0	0	0	0	64	0
TCGA-DD-A3A9-01	2	173	108	0	0	0	0	203	0
TCGA-DD-A4NA-01	4	16	0	0	0	0	0	14	0
TCGA-DD-A4NB-01	0	0	0	0	0	8	0	22	0
TCGA-DD-A4ND-01	2	18	0	0	0	0	0	51	0
TCGA-DD-A4NE-01	0	23	11	0	0	0	0	33	0
TCGA-DD-A4NF-01	0	155	0	0	0	0	0	0	0
TCGA-DD-A4NG-01	0	162	0	0	0	0	0	0	0
TCGA-DD-A4NH-01	0	50	0	16	0	0	0	54	0
TCGA-DD-A4NI-01	0	390	0	0	0	0	0	0	0
TCGA-DD-A4NJ-01	0	75	0	0	0	0	0	126	0
TCGA-DD-A4NK-01	7	95	0	0	0	0	0	125	0
TCGA-DD-A4NL-01	2	19	0	0	15	0	0	0	0
TCGA-DD-A4NN-01	9	124	0	0	0	0	0	0	0
TCGA-DD-A4NO-01	11	127	0	0	0	0	0	0	0
TCGA-DD-A4NP-01	2	43	0	0	0	0	13	0	0
TCGA-DD-A4NQ-01	0	204	0	0	0	0	0	0	0
TCGA-DD-A4NR-01	0	87	0	0	0	0	0	58	0
TCGA-DD-A4NS-01	26	57	0	0	0	0	0	0	57
TCGA-DD-A4NV-01	11	334	0	0	0	0	0	0	0
TCGA-DD-A73A-01	4	28	0	0	0	0	24	58	0
TCGA-DD-A73B-01	5	41	0	9	0	0	0	46	0
TCGA-DD-A73C-01	0	49	0	0	0	0	0	57	0
TCGA-DD-A73D-01	7	77	0	0	0	0	0	0	0
TCGA-DD-A73E-01	0	118	0	0	0	0	0	0	62
TCGA-DD-A73F-01	1	58	0	14	0	0	0	0	34
TCGA-DD-A73G-01	0	144	0	0	0	0	0	0	0
TCGA-DD-AA3A-01	14	10	0	0	0	0	0	33	0
TCGA-DD-AAC8-01	12	116	0	0	0	0	549	0	0
TCGA-DD-AAC9-01	1	102	0	0	0	0	0	0	0
TCGA-DD-AACA-01	0	50	0	17	39	0	0	35	0
TCGA-DD-AACB-01	0	43	0	0	0	0	0	76	0
TCGA-DD-AACC-01	6	67	0	0	0	0	0	49	0
TCGA-DD-AACD-01	0	110	0	0	0	0	0	0	0
TCGA-DD-AACE-01	1	80	0	0	0	0	16	0	0
TCGA-DD-AACF-01	0	61	23	19	0	0	0	0	49
TCGA-DD-AACG-01	7	0	37	0	0	0	0	79	0
TCGA-DD-AACH-01	0	115	0	0	0	0	0	0	0
TCGA-DD-AACI-01	10	211	80	0	0	0	179	0	0
TCGA-DD-AACJ-01	10	75	0	0	36	0	0	0	0
TCGA-DD-AACK-01	0	32	0	0	0	0	84	61	0
TCGA-DD-AACL-01	5	61	0	0	0	0	311	0	0
TCGA-DD-AACM-01	10	40	0	0	0	0	0	21	0
TCGA-DD-AACN-01	1	33	0	0	0	0	0	18	0
TCGA-DD-AACO-01	0	53	0	0	0	0	0	0	0
TCGA-DD-AACP-01	24	121	0	0	97	0	0	0	0
TCGA-DD-AACQ-01	0	86	0	0	0	0	182	0	0
TCGA-DD-AACS-01	8	11	0	0	0	0	0	40	0
TCGA-DD-AACT-01	8	126	0	0	0	0	121	0	0
TCGA-DD-AACU-01	0	55	0	0	0	0	34	62	0
TCGA-DD-AACV-01	10	31	25	0	36	0	0	33	0
TCGA-DD-AACW-01	2	44	0	10	0	0	0	0	0
TCGA-DD-AACX-01	0	145	0	0	0	0	0	0	0
TCGA-DD-AACY-01	0	109	0	0	0	0	0	0	0
TCGA-DD-AACZ-01	8	104	0	21	0	0	85	0	0
TCGA-DD-AAD0-01	1	47	0	16	0	0	0	71	0
TCGA-DD-AAD1-01	8	132	0	0	0	0	23	0	0
TCGA-DD-AAD2-01	2	101	0	0	0	0	0	0	0
TCGA-DD-AAD3-01	0	101	0	0	0	0	0	0	0
TCGA-DD-AAD5-01	6	50	0	0	32	0	0	63	0
TCGA-DD-AAD6-01	1	77	0	0	61	0	0	0	0
TCGA-DD-AAD8-01	1	98	0	0	0	0	46	0	0
TCGA-DD-AADA-01	16	110	0	0	0	0	21	0	0
TCGA-DD-AADB-01	0	170	0	0	0	0	0	0	0
TCGA-DD-AADC-01	4	20	0	0	41	0	0	40	0
TCGA-DD-AADD-01	0	37	0	0	30	0	0	39	0
TCGA-DD-AADE-01	0	41	0	0	60	0	0	40	0
TCGA-DD-AADF-01	0	145	0	0	0	0	138	0	0
TCGA-DD-AADG-01	0	56	0	0	61	0	0	90	0
TCGA-DD-AADI-01	0	129	0	0	0	0	18	0	0
TCGA-DD-AADJ-01	3	72	0	0	0	0	0	0	0
TCGA-DD-AADK-01	5	0	22	0	0	0	0	49	0
TCGA-DD-AADL-01	0	45	0	0	54	0	0	55	0
